sequencia	referencia	identidade	cobertura
WP_010881975.1	5tsj_K	34	93
WP_010881975.1	5gas_K	34	93
WP_010881975.1	5gar_K	34	93
WP_010881975.1	3w3a_O	34	93
WP_010881975.1	3w3a_G	34	93
WP_010881975.1	7vb0_G	34	93
WP_010881975.1	7vay_G	34	93
WP_010881975.1	7vax_G	34	93
WP_010881975.1	7vaw_G	34	93
WP_010881975.1	7vav_G	34	93
WP_010881975.1	7vau_G	34	93
WP_010881975.1	7vat_G	34	93
WP_010881975.1	7vas_G	34	93
WP_010881975.1	7var_G	34	93
WP_010881975.1	7vaq_G	34	93
WP_010881975.1	7vap_G	34	93
WP_010881975.1	7vao_G	34	93
WP_010881975.1	7van_G	34	93
WP_010881975.1	7vam_G	34	93
WP_010881975.1	7val_G	34	93
WP_010881975.1	7vak_G	34	93
WP_010881975.1	7vaj_G	34	93
WP_010881975.1	7vai_G	34	93
WP_010881975.1	6r10_G	34	93
WP_010881975.1	6r0z_G	34	93
WP_010881975.1	6r0y_G	34	93
WP_010881975.1	6r0w_G	34	93
WP_010881975.1	6qum_G	34	93
WP_010881975.1	6ly8_G	34	93
WP_010881975.1	5y60_G	34	93
WP_010881975.1	5y5z_G	34	93
WP_010881975.1	5y5y_G	34	93
WP_010881975.1	5y5x_G	34	93
WP_010881975.1	3j0j_G	34	93
WP_010881975.1	3a5d_O	34	93
WP_010881975.1	3a5d_G	34	93
WP_010881975.1	3a5c_O	34	93
WP_010881975.1	3a5c_G	34	93
WP_010881975.1	7vw7_G	28	92
WP_010881975.1	5knd_G	28	92
WP_010881975.1	5knc_G	28	92
WP_010881975.1	5knb_G	28	92
WP_010881975.1	3vr6_G	28	92
WP_010881975.1	3vr5_G	28	92
WP_010881975.1	3vr4_G	28	92
WP_010881975.1	3aon_A	28	92
WP_010881975.1	7tmt_M	27	97
WP_010881975.1	7tms_M	27	97
WP_010881975.1	7tmr_M	27	97
WP_010881975.1	7tmq_M	27	97
WP_010881975.1	7tmp_M	27	97
WP_010881975.1	7tmo_M	27	97
WP_010881975.1	7tmm_M	27	97
WP_010881975.1	7fde_M	27	97
WP_010881975.1	7fdc_M	27	97
WP_010881975.1	7fdb_M	27	97
WP_010881975.1	7fda_M	27	97
WP_010881975.1	6o7x_M	27	97
WP_010881975.1	6o7w_M	27	97
WP_010881975.1	6o7v_M	27	97
WP_010881975.1	5voz_M	27	97
WP_010881975.1	5voy_M	27	97
WP_010881975.1	5vox_M	27	97
WP_010881975.1	5d80_g	27	97
WP_010881975.1	5d80_G	27	97
WP_010881975.1	5bw9_g	27	97
WP_010881975.1	5bw9_G	27	97
WP_010881975.1	4rnd_C	27	97
WP_010881975.1	4rnd_A	27	97
WP_010881975.1	3j9v_M	27	97
WP_010881975.1	3j9u_M	27	97
WP_010881975.1	3j9t_M	27	97
WP_010881975.1	7uwd_M	24	96
WP_010881975.1	7uwc_M	24	96
WP_010881975.1	7uwb_M	24	96
WP_010881975.1	7uwa_M	24	96
WP_010881975.1	7uw9_M	24	96
WP_010881975.1	7unf_D	34	35
WP_010881975.1	7u4t_G	34	35
WP_010881975.1	6wm4_G	34	35
WP_010881975.1	6wm3_G	34	35
WP_010881975.1	6wm2_G	34	35
WP_010881975.1	6wlz_G	34	35
WP_010881975.1	7u8r_H	34	35
WP_010881975.1	7u8q_H	34	35
WP_010881975.1	7u8p_H	34	35
WP_010881975.1	7u8o_H	34	35
WP_010881975.1	7une_D	34	35
WP_010881975.1	7khr_H	34	35
WP_010881975.1	6xby_H	34	35
WP_010881975.1	6xbw_H	34	35
WP_010881975.1	6vqh_H	23	91
WP_010881975.1	6vqg_H	23	91
WP_010881975.1	6vqc_H	23	91
WP_010881975.1	6vqb_H	23	91
WP_010881975.1	6vqa_H	23	91
WP_010881975.1	6vq9_H	23	91
WP_010881975.1	6vq8_H	23	91
WP_010881975.1	6vq7_H	23	91
WP_010881975.1	6vq6_H	23	91
WP_010881975.1	6vsc_Z	36	28
WP_010881975.1	6vsc_Y	36	28
WP_010881975.1	6vsc_X	36	28
WP_010881975.1	6vsc_W	36	28
WP_010881975.1	6vsc_V	36	28
WP_010881975.1	6vsa_Z	36	28
WP_010881975.1	6vsa_Y	36	28
WP_010881975.1	6vsa_X	36	28
WP_010881975.1	6vsa_W	36	28
WP_010881975.1	6vsa_V	36	28
WP_010881975.1	5t2k_E	36	28
WP_010881975.1	5t2k_D	36	28
WP_010881975.1	5t2k_C	36	28
WP_010881975.1	5t2k_B	36	28
WP_010881975.1	5t2k_A	36	28
WP_010881975.1	1t0t_Z	36	28
WP_010881975.1	1t0t_Y	36	28
WP_010881975.1	1t0t_X	36	28
WP_010881975.1	1t0t_W	36	28
WP_010881975.1	1t0t_V	36	28
WP_039487361.1	6qjz_A	22	71
WP_039487361.1	7a9i_A	23	55
WP_039487361.1	7a9j_A	23	55
WP_039487361.1	5ie3_B	23	65
WP_039487361.1	5ie3_A	23	65
WP_039487361.1	5ie2_B	23	65
WP_039487361.1	5ie2_A	23	65
WP_039487361.1	5ie0_B	23	65
WP_039487361.1	5ie0_A	23	65
WP_039487361.1	1v26_B	26	63
WP_039487361.1	1v26_A	26	63
WP_039487361.1	1v25_B	26	63
WP_039487361.1	1v25_A	26	63
WP_039487361.1	1ult_B	26	63
WP_039487361.1	1ult_A	26	63
WP_039487361.1	4wv3_B	23	56
WP_039487361.1	4wv3_A	23	56
WP_039487361.1	3ivr_B	22	55
WP_039487361.1	3ivr_A	22	55
WP_039487361.1	3tsy_A	22	55
WP_039487361.1	6e97_B	24	66
WP_039487361.1	6e97_A	24	66
WP_039487361.1	6e8o_B	24	66
WP_039487361.1	6e8o_A	24	66
WP_039487361.1	5wm7_A	26	60
WP_039487361.1	5wm6_A	26	60
WP_039487361.1	5wm5_A	26	60
WP_039487361.1	5wm4_A	26	60
WP_039487361.1	5wm3_A	26	60
WP_039487361.1	5wm2_A	26	60
WP_039487361.1	1pg4_B	23	58
WP_039487361.1	1pg4_A	23	58
WP_039487361.1	1pg3_B	23	58
WP_039487361.1	1pg3_A	23	58
WP_039487361.1	3g7s_B	18	69
WP_039487361.1	3g7s_A	18	69
WP_039487361.1	5kei_A	23	74
WP_039487361.1	7kdn_F	21	77
WP_039487361.1	7kdn_E	21	77
WP_039487361.1	7kdn_D	21	77
WP_039487361.1	7kdn_C	21	77
WP_039487361.1	7kdn_B	21	77
WP_039487361.1	7kdn_A	21	77
WP_039487361.1	5msq_A	26	59
WP_039487361.1	5msd_A	26	59
WP_039487361.1	5msc_A	26	59
WP_039487361.1	2p2b_B	22	58
WP_039487361.1	2p2b_A	22	58
WP_039487361.1	2jz4_A	28	25
WP_039487361.1	2p2j_B	22	58
WP_039487361.1	2p2j_A	22	58
WP_039487361.1	2p20_B	22	58
WP_039487361.1	2p20_A	22	58
WP_039487361.1	2p2q_B	22	58
WP_039487361.1	2p2q_A	22	58
WP_039487361.1	5jrh_B	22	58
WP_039487361.1	5jrh_A	22	58
WP_039487361.1	2p2f_B	22	58
WP_039487361.1	2p2f_A	22	58
WP_039487361.1	2p2m_B	26	25
WP_039487361.1	2p2m_A	26	25
WP_039487361.1	5u95_D	27	32
WP_039487361.1	5u95_C	27	32
WP_039487361.1	5u95_B	27	32
WP_039487361.1	5u95_A	27	32
WP_039487361.1	3t5c_B	23	60
WP_039487361.1	3t5c_A	23	60
WP_039487361.1	3t5b_A	23	60
WP_039487361.1	1mdf_A	20	77
WP_039487361.1	1mdb_A	20	77
WP_039487361.1	1md9_A	20	77
WP_039487361.1	5zrn_B	23	60
WP_039487361.1	5zrn_A	23	60
WP_039487361.1	2vsq_A	22	26
WP_039487361.1	6mg0_B	23	31
WP_039487361.1	6mg0_A	23	31
WP_039487361.1	6mfy_A	23	31
WP_039487361.1	6mfz_B	23	31
WP_039487361.1	6mfz_A	23	31
WP_039487361.1	3pbk_B	23	63
WP_039487361.1	3pbk_A	23	63
WP_039487361.1	3gpc_B	18	60
WP_039487361.1	3gpc_A	18	60
WP_039487361.1	3eq6_B	18	60
WP_039487361.1	3eq6_A	18	60
WP_039487361.1	3day_A	18	60
WP_039487361.1	3c5e_A	18	60
WP_039487361.1	3b7w_A	18	60
WP_039487361.1	2vze_C	18	60
WP_039487361.1	2vze_B	18	60
WP_039487361.1	2vze_A	18	60
WP_039487361.1	2wd9_C	18	60
WP_039487361.1	2wd9_B	18	60
WP_039487361.1	2wd9_A	18	60
WP_039487361.1	5u89_A	21	64
WP_039487361.1	3r44_A	23	60
WP_039487361.1	7en2_B	33	21
WP_039487361.1	7en2_A	33	21
WP_039487361.1	7en1_B	33	21
WP_039487361.1	7en1_A	33	21
WP_039487361.1	7emy_B	33	21
WP_039487361.1	7emy_A	33	21
WP_039487361.1	6uly_B	25	21
WP_039487361.1	6uly_A	25	21
WP_039487361.1	6ulx_A	25	21
WP_039487361.1	5bsw_B	26	32
WP_039487361.1	5bsw_A	26	32
WP_039487361.1	5bsv_A	26	32
WP_039487361.1	5bsu_A	26	32
WP_039487361.1	5bst_A	26	32
WP_039487361.1	5bsr_A	26	32
WP_039487361.1	5bsm_B	26	32
WP_039487361.1	5bsm_A	26	32
WP_039487361.1	7tz4_A	23	63
WP_039487361.1	7tyb_A	23	63
WP_039487361.1	4zjz_B	23	75
WP_039487361.1	4zjz_A	23	75
WP_039487361.1	4rmn_B	23	75
WP_039487361.1	4rmn_A	23	75
WP_039487361.1	4eat_B	23	75
WP_039487361.1	4eat_A	23	75
WP_039487361.1	4rm2_B	23	75
WP_039487361.1	4rm2_A	23	75
WP_039487361.1	4rlq_B	23	75
WP_039487361.1	4rlq_A	23	75
WP_039487361.1	4rlf_B	23	75
WP_039487361.1	4rlf_A	23	75
WP_039487361.1	4rm3_B	23	75
WP_039487361.1	4rm3_A	23	75
WP_039487361.1	6m2t_D	23	75
WP_039487361.1	6m2t_C	23	75
WP_039487361.1	6m2t_B	23	75
WP_039487361.1	6m2t_A	23	75
WP_039487361.1	6m2o_B	23	75
WP_039487361.1	6m2o_A	23	75
WP_039487361.1	6m2u_B	23	75
WP_039487361.1	6m2u_A	23	75
WP_039487361.1	5t3d_A	28	25
WP_039487361.1	5ja2_A	28	25
WP_039487361.1	5ja1_A	28	25
WP_039487361.1	6ulw_D	25	21
WP_039487361.1	6ulw_C	25	21
WP_039487361.1	6ulw_B	25	21
WP_039487361.1	6ulw_A	25	21
WP_039487361.1	2qvy_X	24	57
WP_039487361.1	2qvx_X	24	57
WP_039487361.1	3dlp_X	24	57
WP_039487361.1	3cw9_B	24	57
WP_039487361.1	3cw9_A	24	57
WP_039487361.1	1t5h_X	24	57
WP_039487361.1	1t5d_X	24	57
WP_039487361.1	2qw0_X	24	57
WP_039487361.1	2qvz_X	24	57
WP_039487361.1	3wv5_B	23	56
WP_039487361.1	3wv5_A	23	56
WP_039487361.1	3wv4_B	23	56
WP_039487361.1	3wv4_A	23	56
WP_039487361.1	3wvn_B	23	56
WP_039487361.1	3wvn_A	23	56
WP_039487361.1	3cw8_X	23	57
WP_039487361.1	2v7b_B	22	71
WP_039487361.1	2v7b_A	22	71
WP_039487017.1	4zwn_D	31	21
WP_039487017.1	4zwn_C	31	21
WP_039487017.1	4zwn_B	31	21
WP_039487017.1	4zwn_A	31	21
WP_039487017.1	4zxf_D	31	21
WP_039487017.1	4zxf_C	31	21
WP_039487017.1	4zxf_B	31	21
WP_039487017.1	4zxf_A	31	21
WP_014342369.1	4ymw_A	29	39
WP_014342369.1	4ymw_A	25	37
WP_014342369.1	4ymw_J	29	39
WP_014342369.1	4ymw_J	25	37
WP_014342369.1	4ymv_A	29	39
WP_014342369.1	4ymv_A	25	37
WP_014342369.1	4ymv_J	29	39
WP_014342369.1	4ymv_J	25	37
WP_014342369.1	4ymu_A	29	39
WP_014342369.1	4ymu_A	25	37
WP_014342369.1	4ymu_J	29	39
WP_014342369.1	4ymu_J	25	37
WP_014342369.1	4ymt_A	29	39
WP_014342369.1	4ymt_A	25	37
WP_014342369.1	4ymt_J	29	39
WP_014342369.1	4ymt_J	25	37
WP_014342369.1	4yms_A	29	39
WP_014342369.1	4yms_A	25	37
WP_014342369.1	4yms_J	29	39
WP_014342369.1	4yms_J	25	37
WP_014342369.1	4u02_D	32	36
WP_014342369.1	4u02_D	30	36
WP_014342369.1	4u02_C	32	36
WP_014342369.1	4u02_C	30	36
WP_014342369.1	4u02_B	32	36
WP_014342369.1	4u02_B	30	36
WP_014342369.1	4u02_A	32	36
WP_014342369.1	4u02_A	30	36
WP_014342369.1	4u00_A	32	36
WP_014342369.1	4u00_A	30	36
WP_014342369.1	3c41_K	30	36
WP_014342369.1	3c41_K	24	37
